,Symbol,Name,Price,Change %,Volume,Rel Volume,Market cap,P/E,EPS dil,EPS dil growth,Div yield %,Sector,Analyst Rating
1398,ECX,ECARX Holdings Inc.,2.67 USD,−1.11%,73.112K,0.26,900.846M USD,—,−0.70 USD,−376.82%,0.00%,Technology Services,Strong buy
1399,ED,"Consolidated Edison, Inc.",93.52 USD,+0.29%,1.972M,1.25,32.285B USD,13.86,6.75 USD,+41.57%,3.46%,Utilities,Neutral
1400,EDBL,Edible Garden AG Incorporated,0.4851 USD,−2.39%,41.21K,0.74,2.768M USD,—,−11.56 USD,+74.14%,0.00%,Process Industries,Strong buy
1401,EDIT,"Editas Medicine, Inc.",9.09 USD,−4.72%,1.482M,0.86,742.414M USD,—,−2.71 USD,+7.60%,0.00%,Health Technology,Buy
1402,EDR,"Endeavor Group Holdings, Inc.",23.53 USD,+0.34%,3.279M,1.73,16.424B USD,—,−0.36 USD,−131.46%,0.51%,Consumer Services,Strong buy
1403,EDRY,EuroDry Ltd.,21.25 USD,+1.53%,22.211K,1.41,59.202M USD,20.72,1.03 USD,−93.01%,0.00%,Transportation,Strong buy
1404,E,EDSA,4.45 USD,−3.68%,19.667K,1.14,14.083M USD,—,−0.42 USD,+64.98%,0.00%,Health Technology,Strong buy
1405,EDTK,Skillful Craftsman Education Technology Limited,1.04 USD,−3.70%,2.212K,0.03,16.067M USD,—,−1.23 USD,−1092.03%,0.00%,Commercial Services,—
1406,EDUC,Educational Development Corporation,1.22 USD,−1.59%,18.659K,0.72,10.459M USD,—,−0.21 USD,−173.83%,0.00%,Consumer Services,—
1407,EE,"Excelerate Energy, Inc.",14.57 USD,−0.07%,409.038K,2.03,1.578B USD,16.85,0.86 USD,+50.05%,0.69%,Utilities,Buy
1408,EEFT,"Euronet Worldwide, Inc.",98.23 USD,+0.99%,246.836K,0.81,4.531B USD,18.32,5.36 USD,+25.92%,0.00%,Technology Services,Buy
1409,EEIQ,EpicQuest Education Group International Limited,1.99 USD,−0.35%,8.432K,2.81,22.799M USD,—,—,—,0.00%,Commercial Services,—
1410,EEX,"Emerald Holding, Inc.",6.04 USD,+5.04%,58.271K,0.83,379.87M USD,—,−0.28 USD,−385.06%,0.00%,Commercial Services,Strong buy
1411,EFOI,"Energy Focus, Inc.",1.58 USD,+4.79%,1.34K,0.25,6.881M USD,—,−2.95 USD,+73.11%,0.00%,Producer Manufacturing,—
1412,EFSC,Enterprise Financial Services Corporation,44.48 USD,+0.16%,142.579K,1.18,1.663B USD,8.10,5.49 USD,—,2.25%,Finance,Strong buy
1413,EFSH,1847 Holdings LLC,2.24 USD,+14.04%,404.598K,1.05,1.77M USD,—,−59.38 USD,+77.34%,587.20%,Commercial Services,—
1414,EFTR,"eFFECTOR Therapeutics, Inc.",0.5310 USD,+1.14%,1.255M,0.65,34.315M USD,—,−0.77 USD,−642.61%,0.00%,Health Technology,Strong buy
1415,EFX,"Equifax, Inc.",237.02 USD,+1.25%,883.714K,1.08,29.205B USD,56.25,4.21 USD,−26.75%,0.66%,Commercial Services,Buy
1416,EG,"Everest Group, Ltd.",371.41 USD,+1.01%,529.909K,1.40,16.116B USD,6.89,53.93 USD,+306.01%,1.83%,Finance,Buy
1417,EGAN,eGain Corporation,7.92 USD,−1.61%,84.138K,1.16,249.363M USD,54.25,0.15 USD,—,0.00%,Technology Services,Buy
1418,EGBN,"Eagle Bancorp, Inc.",29.25 USD,−0.07%,263.6K,1.16,875.341M USD,7.40,3.96 USD,—,6.15%,Finance,Neutral
1419,EGHT,8x8 Inc,3.56 USD,−1.39%,1.036M,0.75,434.902M USD,—,−0.51 USD,+53.64%,0.00%,Technology Services,Buy
1420,EGIO,"Edgio, Inc.",0.2850 USD,−8.74%,1.464M,0.77,66.751M USD,—,−0.69 USD,−37.55%,0.00%,Technology Services,Buy
1421,EGLE,Eagle Bulk Shipping Inc.,56.22 USD,−1.71%,263.605K,1.51,558.382M USD,25.16,2.23 USD,−88.36%,2.45%,Transportation,Buy
1422,E,EGOX,0.4250 USD,−15.12%,179.073K,0.18,39.787M USD,—,−0.03 USD,+36.07%,0.00%,Consumer Durables,—
1423,EGRX,"Eagle Pharmaceuticals, Inc.",5.13 USD,−1.91%,263.751K,1.16,66.623M USD,5.64,0.91 USD,−48.48%,0.00%,Health Technology,—
1424,EGY,"VAALCO Energy, Inc.",4.59 USD,+0.66%,897.837K,1.21,482.679M USD,14.50,0.32 USD,−72.24%,5.45%,Energy Minerals,Strong buy
1425,EHAB,"Enhabit, Inc.",9.76 USD,+4.05%,1.41M,3.00,489.265M USD,—,−1.33 USD,—,0.00%,Health Services,Neutral
1426,EHC,Encompass Health Corporation,68.04 USD,+1.73%,1.04M,2.26,6.82B USD,19.46,3.50 USD,+28.32%,0.88%,Health Services,Strong buy
1427,EHTH,"eHealth, Inc.",7.74 USD,−1.53%,263.528K,1.29,219.544M USD,—,−3.42 USD,+45.57%,0.00%,Finance,Neutral
1428,EIG,Employers Holdings Inc,39.61 USD,−0.03%,130.388K,1.00,1.019B USD,8.96,4.42 USD,+121.67%,2.78%,Finance,Buy
1429,EIGR,"Eiger BioPharmaceuticals, Inc.",6.55 USD,−5.17%,12.698K,1.08,9.68M USD,—,−1.96 USD,+18.53%,0.00%,Health Technology,Strong buy
1430,EIX,Edison International,72.57 USD,+0.39%,1.901M,1.03,27.836B USD,22.61,3.21 USD,+70.10%,4.12%,Utilities,Buy
1431,EJH,E-Home Household Service Holdings Limited,0.7290 USD,−6.26%,4.595M,1.00,10.878M USD,—,−62.99 USD,—,0.00%,Consumer Services,—
1432,EKSO,"Ekso Bionics Holdings, Inc.",2.62 USD,+4.80%,157.366K,0.59,37.295M USD,—,−1.12 USD,+4.98%,0.00%,Health Technology,—
1433,EL,"Estee Lauder Companies, Inc. (The)",137.30 USD,−1.02%,2.404M,1.38,49.132B USD,90.39,1.52 USD,−74.70%,1.92%,Consumer Non-Durables,Buy
1434,ELA,Envela Corporation,4.64 USD,+1.53%,46.859K,2.01,123.888M USD,10.66,0.44 USD,−6.91%,0.00%,Retail Trade,Strong buy
1435,E,ELAB,1.66 USD,+3.81%,15.947K,0.72,—,—,—,—,—,Health Technology,—
1436,ELAN,Elanco Animal Health Incorporated,15.45 USD,+6.19%,10.979M,2.77,7.614B USD,—,−2.32 USD,−840.83%,0.00%,Health Technology,Buy
1437,ELDN,"Eledon Pharmaceuticals, Inc.",1.83 USD,−0.54%,27.695K,0.25,44.283M USD,—,−5.74 USD,−113.56%,0.00%,Health Technology,Strong buy
1438,ELEV,"Elevation Oncology, Inc.",0.8746 USD,+47.81%,13.74M,39.35,37.096M USD,—,−2.16 USD,+41.43%,0.00%,Health Technology,Strong buy
1439,ELF,"e.l.f. Beauty, Inc.",138.02 USD,+0.55%,1.019M,1.10,7.619B USD,64.65,2.13 USD,+241.13%,0.00%,Consumer Non-Durables,Strong buy
1440,ELIQ,"Electriq Power Holdings, Inc.",0.3276 USD,−5.04%,131.727K,0.32,13.679M USD,—,—,—,0.00%,Producer Manufacturing,—
1441,ELLO,Ellomay Capital Ltd,16.30 USD,+1.81%,580,0.37,209.497M USD,—,—,—,0.00%,Utilities,—
1442,ELMD,"Electromed, Inc.",10.27 USD,−1.63%,5.281K,0.25,88.134M USD,27.61,0.37 USD,+67.12%,0.00%,Health Technology,Strong buy
1443,ELSE,"Electro-Sensors, Inc.",3.98 USD,+0.34%,823,0.26,13.644M USD,38.94,0.10 USD,+5010.00%,0.00%,Electronic Technology,—
1444,ELTK,Eltek Ltd.,14.90 USD,−2.10%,54.029K,0.45,87.16M USD,15.14,0.98 USD,−7.43%,1.48%,Electronic Technology,—
1445,ELTX,"Elicio Therapeutics, Inc.",7.10 USD,+1.50%,45.475K,0.98,59.69M USD,—,—,—,0.00%,Health Technology,Buy
1446,ELUT,"Elutia, Inc.",3.40 USD,+21.00%,36.012K,0.86,78.872M USD,—,−2.10 USD,+25.99%,0.00%,Health Technology,Strong buy
1447,ELV,"Elevance Health, Inc.",480.03 USD,−0.99%,1.044M,1.15,112.787B USD,18.84,25.47 USD,−0.05%,1.23%,Health Services,Strong buy
1448,ELVN,"Enliven Therapeutics, Inc.",13.22 USD,−9.39%,219.147K,1.28,544.822M USD,—,—,—,0.00%,Health Technology,Strong buy
1449,ELYM,"Eliem Therapeutics, Inc",2.89 USD,0.00%,2.752K,0.17,79.685M USD,—,−1.48 USD,+18.93%,0.00%,Health Technology,—
1450,EMBC,Embecta Corp.,18.24 USD,−0.98%,182.638K,0.46,1.05B USD,14.87,1.23 USD,−68.49%,3.29%,Health Technology,Sell
1451,EMCG,Embrace Change Acquisition Corp,10.96 USD,+0.09%,1.532K,0.05,—,—,—,—,—,Miscellaneous,—
1452,EME,"EMCOR Group, Inc.",212.45 USD,+0.63%,526.833K,1.90,9.995B USD,18.49,11.49 USD,+54.81%,0.32%,Industrial Services,Strong buy
1453,EMKR,EMCORE Corporation,0.4604 USD,−2.62%,142.254K,0.33,35.53M USD,—,−1.38 USD,−111.59%,0.00%,Electronic Technology,Strong buy
1454,EML,Eastern Company (The),22.20 USD,−3.60%,9.389K,1.27,138.493M USD,27.07,0.82 USD,−63.26%,1.98%,Consumer Durables,—
1455,EMLD,FTAC Emerald Acquisition Corp.,10.58 USD,+0.19%,129.337K,1.60,266.842M USD,—,—,—,0.00%,Finance,—
1456,EMN,Eastman Chemical Company,89.19 USD,+1.00%,1.389M,2.08,10.575B USD,18.21,4.90 USD,−46.14%,3.57%,Process Industries,Buy
1457,EMR,Emerson Electric Company,95.47 USD,+0.39%,1.638M,0.89,54.427B USD,—,−0.30 USD,−105.46%,2.18%,Electronic Technology,Strong buy
1458,ENCP,Energem Corp,11.36 USD,+0.44%,3.755K,1.28,52.483M USD,155.83,0.07 USD,—,0.00%,Finance,—
1459,ENFN,"Enfusion, Inc.",9.17 USD,−0.22%,201.09K,1.07,1.132B USD,203.33,0.05 USD,—,0.00%,Technology Services,Buy
1460,E,ENG,1.75 USD,0.00%,1.485K,0.05,8.969M USD,—,−4.80 USD,−86.94%,0.00%,Industrial Services,—
1461,E,ENGN,7.55 USD,+6.04%,18.473K,1.08,175.145M USD,—,−0.16 USD,−210.04%,0.00%,Health Technology,—
1462,ENLC,"EnLink Midstream, LLC",12.50 USD,+1.63%,2.021M,1.18,5.711B USD,19.60,0.64 USD,+21.74%,4.00%,Industrial Services,Buy
1463,ENLV,Enlivex Therapeutics Ltd.,3.62 USD,−1.09%,87.574K,0.29,67.293M USD,—,−1.47 USD,+5.85%,0.00%,Health Technology,Strong buy
1464,ENOV,Enovis Corporation,56.21 USD,+1.32%,699.408K,1.24,3.069B USD,—,−1.66 USD,−496.64%,0.00%,Producer Manufacturing,Strong buy
1465,ENPH,"Enphase Energy, Inc.",115.39 USD,−2.27%,4.184M,0.99,15.757B USD,29.06,3.97 USD,+92.05%,0.00%,Electronic Technology,Buy
1466,ENR,"Energizer Holdings, Inc.",30.54 USD,−0.23%,434.982K,1.02,2.192B USD,15.73,1.94 USD,—,3.93%,Consumer Non-Durables,Neutral
1467,ENS,EnerSys,96.48 USD,+1.04%,234.157K,0.79,3.898B USD,16.54,5.83 USD,+87.44%,0.83%,Producer Manufacturing,Buy
1468,ENSC,"Ensysce Biosciences, Inc.",1.09 USD,−4.88%,22.312K,0.46,3.441M USD,—,−7.76 USD,+97.76%,0.00%,Health Technology,—
1469,ENSG,"The Ensign Group, Inc.",114.01 USD,+0.15%,221.107K,0.88,6.436B USD,26.11,4.37 USD,+16.52%,0.20%,Health Services,Buy
1470,ENSV,Enservco Corporation,0.2472 USD,+2.57%,181.813K,0.74,6.645M USD,—,−0.48 USD,+20.61%,0.00%,Industrial Services,Strong buy
1471,ENTA,"Enanta Pharmaceuticals, Inc.",12.11 USD,+0.58%,363.631K,1.40,255.024M USD,—,−6.37 USD,−7.80%,0.00%,Health Technology,Neutral
1472,ENTG,"Entegris, Inc.",109.93 USD,+0.82%,1.17M,0.99,16.507B USD,83.09,1.32 USD,−34.47%,0.36%,Producer Manufacturing,Buy
1473,ENTX,Entera Bio Ltd.,0.6764 USD,−1.26%,35.324K,0.21,19.488M USD,—,−0.34 USD,−93.92%,0.00%,Health Technology,Strong buy
1474,ENV,"Envestnet, Inc",48.28 USD,−0.49%,438.958K,1.02,2.639B USD,—,−1.85 USD,−105.26%,0.00%,Technology Services,Buy
1475,ENVA,"Enova International, Inc.",55.03 USD,+0.68%,224.671K,1.01,1.644B USD,9.32,5.91 USD,−0.59%,0.00%,Finance,Buy
1476,ENVB,"Enveric Biosciences, Inc.",1.27 USD,−1.55%,24.349K,0.16,2.948M USD,—,−10.89 USD,+85.30%,0.00%,Health Technology,Strong buy
1477,ENVX,Enovix Corporation,12.19 USD,+2.44%,4.589M,1.17,2.045B USD,—,−1.45 USD,−0.84%,0.00%,Producer Manufacturing,Strong buy
1478,ENZ,"Enzo Biochem, Inc.",1.36 USD,−2.86%,27.029K,0.20,68.666M USD,—,−0.93 USD,−588.25%,0.00%,Health Technology,—
1479,EOG,"EOG Resources, Inc.",120.38 USD,−0.53%,2.157M,0.82,70.2B USD,8.94,13.46 USD,+5.76%,4.82%,Energy Minerals,Buy
1480,EOLS,"Evolus, Inc. Common Stock",10.45 USD,+1.95%,416.671K,0.96,597.225M USD,—,−1.11 USD,+21.77%,0.00%,Health Technology,Strong buy
1481,EOSE,"Eos Energy Enterprises, Inc.",0.9408 USD,−0.97%,5.724M,0.72,181.148M USD,—,−2.68 USD,+24.43%,0.00%,Producer Manufacturing,Buy
1482,EP,Empire Petroleum Corporation,8.95 USD,−2.61%,61.684K,1.43,204.886M USD,—,−0.45 USD,+66.63%,0.00%,Energy Minerals,—
1483,EPAC,Enerpac Tool Group Corp.,28.71 USD,−2.21%,217.757K,0.65,1.554B USD,28.38,1.01 USD,+173.51%,0.14%,Producer Manufacturing,Buy
1484,EPAM,"EPAM Systems, Inc.",288.85 USD,−0.48%,409.014K,1.29,16.667B USD,36.04,8.01 USD,+16.70%,0.00%,Technology Services,Buy
1485,EPC,Edgewell Personal Care Company,35.59 USD,−0.39%,329.27K,1.17,1.788B USD,16.30,2.18 USD,+18.19%,1.69%,Consumer Non-Durables,Buy
1486,EPD,Enterprise Products Partners L.P.,26.70 USD,−0.30%,5.247M,1.34,57.989B USD,10.89,2.45 USD,+6.02%,7.42%,Industrial Services,Buy
1487,EPIX,ESSA Pharma Inc.,6.23 USD,+0.97%,54.829K,0.74,275.005M USD,—,−0.60 USD,+24.37%,0.00%,Health Technology,Strong buy
1488,EPM,"Evolution Petroleum Corporation, Inc.",5.73 USD,−2.72%,528.77K,1.68,191.557M USD,7.47,0.77 USD,−31.74%,8.38%,Energy Minerals,Strong buy
1489,EPOW,"Sunrise New Energy Co., Ltd",1.04 USD,+0.96%,9.623K,0.36,26.373M USD,—,−0.79 USD,−316.89%,0.00%,Technology Services,—
1490,EPSN,Epsilon Energy Ltd.,4.91 USD,−1.60%,55.527K,0.66,108.808M USD,8.33,0.59 USD,−58.97%,5.09%,Energy Minerals,—
1491,EQ,"Equillium, Inc.",0.8202 USD,+7.22%,184.184K,1.41,28.805M USD,—,−0.24 USD,+89.88%,0.00%,Health Technology,Strong buy
1492,EQBK,"Equity Bancshares, Inc.",34.25 USD,+1.75%,120.844K,2.27,527.897M USD,11.35,3.02 USD,—,1.28%,Finance,Buy
1493,EQH,"Equitable Holdings, Inc.",33.05 USD,+1.47%,3.953M,1.46,11.187B USD,9.98,3.31 USD,−53.68%,2.60%,Finance,Buy
1494,EQS,"Equus Total Return, Inc.",1.57 USD,−1.88%,19.376K,1.57,21.223M USD,1.95,0.81 USD,—,0.00%,Finance,—
1495,EQT,EQT Corporation,38.71 USD,+1.34%,8.312M,1.78,15.923B USD,5.24,7.38 USD,+63.25%,1.57%,Energy Minerals,Buy
1496,EQX,Equinox Gold Corp.,4.58 USD,−0.43%,1.921M,1.04,1.433B USD,33.03,0.14 USD,—,0.00%,Non-Energy Minerals,Buy
1497,ERAS,"Erasca, Inc.",2.04 USD,−5.56%,998.12K,1.06,308.218M USD,—,−1.70 USD,−47.29%,0.00%,Health Technology,Strong buy
1498,ERIE,Erie Indemnity Company,329.81 USD,−1.26%,74.566K,1.03,15.359B USD,43.37,7.60 USD,+38.85%,1.44%,Finance,Buy
1499,ERII,"Energy Recovery, Inc.",17.85 USD,−1.82%,392.838K,1.55,1.009B USD,67.59,0.26 USD,−1.16%,0.00%,Producer Manufacturing,Buy
1500,ERNA,Eterna Therapeutics Inc.,1.92 USD,−2.07%,2.612K,0.10,10.385M USD,—,−3.96 USD,+61.89%,0.00%,Health Technology,—
1501,ES,Eversource Energy (D/B/A),62.07 USD,−1.30%,3.341M,2.06,21.683B USD,18.60,3.34 USD,−16.99%,4.35%,Utilities,Neutral
1502,ESAB,ESAB Corporation,84.42 USD,+0.49%,230.864K,1.47,5.088B USD,23.66,3.57 USD,—,0.27%,Producer Manufacturing,Buy
1503,ESAC,ESGEN Acquisition Corporation,11.27 USD,0.00%,101,0.02,156.964M USD,—,−0.10 USD,−115.96%,0.00%,Finance,—
1504,ESBA,"Empire State Realty OP, L.P. Series ES Operating Partnership",9.51 USD,+2.81%,1.105K,0.19,2.552B USD,—,—,—,1.47%,Finance,—
1505,ESCA,"Escalade, Incorporated",19.16 USD,+1.54%,26.056K,0.97,263.197M USD,27.37,0.70 USD,−52.63%,3.13%,Consumer Durables,Strong buy
1506,ESE,ESCO Technologies Inc.,103.81 USD,−4.91%,146.119K,1.95,2.679B USD,29.02,3.58 USD,+13.03%,0.31%,Electronic Technology,Buy
1507,ESEA,Euroseas Ltd.,36.73 USD,+2.83%,65.692K,0.98,256.954M USD,2.33,15.76 USD,+5.14%,5.45%,Transportation,Strong buy
1508,ESGL,ESGL Holdings Limited,0.5492 USD,−10.11%,46.491K,0.24,6.966M USD,—,—,—,0.00%,Industrial Services,—
1509,ESGR,Enstar Group Limited,286.15 USD,−0.87%,32.893K,0.83,4.59B USD,6.29,45.50 USD,—,0.00%,Finance,Neutral
1510,ESHA,ESH Acquisition Corp.,10.24 USD,−0.08%,500,0.01,120.704M USD,—,—,—,0.00%,Finance,—
1511,ESI,Element Solutions Inc.,22.35 USD,+0.63%,1.1M,0.84,5.398B USD,110.32,0.20 USD,−72.18%,1.43%,Process Industries,Strong buy
1512,E,ESLA,1.10 USD,−5.17%,13.901K,0.44,38.721M USD,—,−0.18 USD,−44.10%,0.00%,Health Technology,—
1513,ESMT,"EngageSmart, Inc.",22.93 USD,+0.04%,1.024M,1.21,3.86B USD,156.73,0.15 USD,+67.97%,0.00%,Technology Services,Neutral
1514,ESNT,Essent Group Ltd.,52.85 USD,−0.56%,505.645K,1.22,5.642B USD,8.48,6.23 USD,−22.01%,1.89%,Finance,Buy
1515,ESOA,Energy Services of America Corporation,5.89 USD,−0.84%,104.673K,0.86,97.581M USD,13.37,0.44 USD,+93.97%,1.87%,Industrial Services,—
1516,ESP,Espey Mfg. & Electronics Corp.,18.89 USD,−1.25%,4.635K,0.54,51.128M USD,11.66,1.62 USD,+129.98%,1.85%,Electronic Technology,—
1517,ESPR,"Esperion Therapeutics, Inc.",2.55 USD,+10.63%,5.998M,0.82,289.98M USD,—,−2.37 USD,+48.08%,0.00%,Health Technology,Buy
1518,ESQ,"Esquire Financial Holdings, Inc.",48.10 USD,−0.74%,10.615K,0.60,394.621M USD,9.94,4.84 USD,—,0.99%,Finance,Strong buy
1519,ESSA,"ESSA Bancorp, Inc.",19.97 USD,+0.86%,43.957K,2.11,202.326M USD,10.46,1.91 USD,—,3.00%,Finance,Neutral
1520,ESTA,Establishment Labs Holdings Inc.,26.91 USD,+5.70%,320.714K,1.19,694.5M USD,—,−2.82 USD,+9.50%,0.00%,Health Technology,Strong buy
1521,ESTC,Elastic N.V.,104.10 USD,+0.74%,822.878K,0.77,10.372B USD,—,−1.98 USD,+21.95%,0.00%,Technology Services,Buy
1522,ET,Energy Transfer LP,13.95 USD,+0.58%,10.435M,0.96,46.908B USD,13.16,1.06 USD,−21.26%,8.85%,Industrial Services,Strong buy
1523,ETAO,"Etao International Co., Ltd.",0.3560 USD,−3.78%,22.599K,0.22,36.471M USD,—,—,—,0.00%,Health Services,—
1524,ETD,Ethan Allen Interiors Inc.,30.00 USD,−1.06%,156.247K,0.93,761.978M USD,8.46,3.55 USD,−19.80%,4.67%,Consumer Durables,Buy
1525,ETN,"Eaton Corporation, PLC",234.86 USD,+0.16%,985.758K,0.89,93.78B USD,31.44,7.47 USD,+30.80%,1.46%,Producer Manufacturing,Buy
1526,ETNB,"89bio, Inc.",11.53 USD,+1.23%,1.118M,1.00,1.047B USD,—,−2.00 USD,+54.07%,0.00%,Health Technology,Strong buy
1527,ETON,"Eton Pharmaceuticals, Inc.",4.34 USD,−6.47%,232.493K,2.51,111.357M USD,51.24,0.08 USD,—,0.00%,Health Technology,Strong buy
1528,ETR,Entergy Corporation,103.94 USD,+0.87%,1.073M,1.00,21.981B USD,14.93,6.96 USD,+12.97%,4.18%,Utilities,Buy
1529,ETRN,Equitrans Midstream Corporation,10.67 USD,+3.09%,4.283M,1.62,4.623B USD,14.61,0.73 USD,—,5.62%,Industrial Services,Buy
1530,ETSY,"Etsy, Inc.",75.64 USD,−0.85%,3.92M,1.14,9.058B USD,31.68,2.39 USD,—,0.00%,Retail Trade,Buy
1531,ETWO,"E2open Parent Holdings, Inc.",4.04 USD,−1.94%,1.517M,0.84,1.372B USD,—,−2.08 USD,−64.44%,0.00%,Technology Services,Neutral
1532,EUDA,Euda Health Holdings Limited,1.47 USD,−5.16%,109.642K,1.16,36.202M USD,—,−0.40 USD,−1387.36%,0.00%,Health Services,—
1533,EVA,Enviva Inc.,0.7917 USD,+1.73%,894.987K,0.58,58.979M USD,—,−4.85 USD,−142.05%,457.24%,Process Industries,Sell
1534,EVBG,"Everbridge, Inc.",21.55 USD,−0.92%,361.968K,0.88,885.038M USD,—,−0.60 USD,+72.79%,0.00%,Technology Services,Neutral
1535,EVBN,"Evans Bancorp, Inc.",31.28 USD,+2.02%,32.986K,2.44,171.527M USD,8.41,3.72 USD,—,4.22%,Finance,Buy
1536,EVC,Entravision Communications Corporation,4.00 USD,+0.25%,461.357K,2.07,351.987M USD,357.14,0.01 USD,−95.85%,5.00%,Consumer Services,Strong buy
1537,EVCM,EverCommerce Inc.,9.99 USD,−1.28%,107.892K,1.22,1.885B USD,—,−0.21 USD,+12.56%,0.00%,Technology Services,Buy
1538,EVE,EVe Mobility Acquisition Corp,10.81 USD,−0.06%,1.115K,0.15,168.67M USD,47.52,0.23 USD,+2514.94%,0.00%,Finance,—
1539,EVER,"EverQuote, Inc.",11.41 USD,−1.38%,184.902K,0.86,384.653M USD,—,−1.61 USD,−102.80%,0.00%,Technology Services,Buy
1540,EVEX,"Eve Holding, Inc.",7.28 USD,−1.36%,52.436K,0.73,1.961B USD,—,−0.40 USD,+20.35%,0.00%,Electronic Technology,Buy
1541,EVGN,Evogene Ltd.,0.9624 USD,−1.47%,109.338K,0.38,48.649M USD,—,−0.47 USD,+37.05%,0.00%,Health Technology,Strong buy
1542,EVGO,EVgo Inc.,3.09 USD,−1.28%,1.304M,0.59,925.004M USD,—,−0.42 USD,+17.28%,0.00%,Retail Trade,Buy
1543,EVGR,Evergreen Corporation,11.20 USD,+0.09%,25.459K,0.92,122.116M USD,41.16,0.27 USD,+3301.25%,0.00%,Consumer Durables,—
1544,EVH,"Evolent Health, Inc",32.36 USD,−1.01%,679.663K,0.67,3.72B USD,—,−1.03 USD,−1983.54%,0.00%,Commercial Services,Strong buy
1545,EVI,"EVI Industries, Inc.",19.82 USD,−2.41%,19.5K,0.71,276.934M USD,35.75,0.55 USD,+59.77%,0.00%,Distribution Services,—
1546,EVLV,"Evolv Technologies Holdings, Inc.",4.29 USD,−8.53%,1.135M,1.17,648.368M USD,—,−0.80 USD,−103.63%,0.00%,Electronic Technology,Strong buy
1547,EVOK,"Evoke Pharma, Inc.",1.0000 USD,−2.91%,24.094K,2.09,3.343M USD,—,−2.28 USD,+16.34%,0.00%,Health Technology,Strong buy
1548,EVR,Evercore Inc.,166.59 USD,+1.67%,275.45K,1.32,6.276B USD,21.49,7.75 USD,−48.71%,1.80%,Finance,Buy
1549,EVRG,"Evergy, Inc.",53.70 USD,+0.17%,1.773M,0.81,12.336B USD,18.16,2.96 USD,−14.69%,4.62%,Utilities,Buy
1550,EVRI,Everi Holdings Inc.,10.80 USD,−2.35%,1.072M,0.95,924.119M USD,9.27,1.17 USD,−36.01%,0.00%,Consumer Services,Strong buy
1551,EVTC,"Evertec, Inc.",39.26 USD,−2.36%,293.558K,0.94,2.537B USD,26.59,1.48 USD,−59.19%,0.51%,Finance,Neutral
1552,EVTL,Vertical Aerospace Ltd.,0.6240 USD,−2.52%,371.328K,0.34,133.668M USD,—,−0.50 USD,−1259.82%,0.00%,Electronic Technology,Sell
1553,EVTV,"Envirotech Vehicles, Inc.",1.16 USD,−2.52%,5.574K,0.26,17.523M USD,—,−3.19 USD,−352.25%,0.00%,Producer Manufacturing,—
1554,EW,Edwards Lifesciences Corporation,72.85 USD,−0.91%,2.694M,0.95,44.184B USD,31.15,2.34 USD,+0.69%,0.00%,Health Technology,Buy
1555,EWBC,"East West Bancorp, Inc.",72.46 USD,+2.00%,1.879M,2.87,10.212B USD,8.17,8.87 USD,—,2.65%,Finance,Strong buy
1556,EWCZ,"European Wax Center, Inc.",13.00 USD,+2.85%,788.086K,1.23,811.738M USD,89.90,0.14 USD,−35.22%,0.00%,Consumer Services,Buy
1557,EWTX,"Edgewise Therapeutics, Inc.",10.11 USD,−0.69%,583.004K,0.71,641.597M USD,—,−1.41 USD,−16.34%,0.00%,Health Technology,Strong buy
1558,EXAS,Exact Sciences Corporation,73.20 USD,+2.77%,2.145M,1.22,13.238B USD,—,−1.58 USD,+61.45%,0.00%,Health Technology,Strong buy
1559,EXC,Exelon Corporation,36.31 USD,+0.81%,4.98M,0.76,36.144B USD,16.90,2.15 USD,−0.77%,3.97%,Utilities,Neutral
1560,EXEL,"Exelixis, Inc.",23.24 USD,−1.57%,2.43M,1.45,7.227B USD,82.82,0.28 USD,−70.44%,0.00%,Health Technology,Buy
1561,EXFY,"Expensify, Inc.",2.05 USD,−2.84%,682.454K,1.27,171.658M USD,—,−0.46 USD,+18.45%,0.00%,Technology Services,Neutral
1562,EXLS,"ExlService Holdings, Inc.",29.63 USD,−0.84%,533.601K,0.70,4.887B USD,28.39,1.04 USD,+26.75%,0.00%,Technology Services,Buy
1563,EXP,Eagle Materials Inc,200.12 USD,+1.35%,219.285K,1.27,6.982B USD,14.66,13.65 USD,+25.25%,0.50%,Non-Energy Minerals,Buy
1564,EXPD,"Expeditors International of Washington, Inc.",128.52 USD,+1.00%,1.079M,1.21,18.685B USD,24.28,5.29 USD,−44.35%,1.07%,Transportation,Sell
1565,EXPE,"Expedia Group, Inc.",146.32 USD,+1.04%,1.58M,0.70,20.316B USD,26.27,5.57 USD,+104.31%,0.00%,Consumer Services,Buy
1566,EXPI,"eXp World Holdings, Inc.",14.48 USD,−2.10%,577.927K,0.60,2.227B USD,471.66,0.03 USD,−87.39%,1.31%,Finance,Neutral
1567,EXPO,"Exponent, Inc.",86.33 USD,−0.17%,299.6K,1.03,4.37B USD,43.76,1.97 USD,+3.84%,1.20%,Industrial Services,Buy
1568,EXPR,"Express, Inc.",8.41 USD,−6.03%,46.372K,0.65,31.506M USD,0.15,54.86 USD,—,0.00%,Retail Trade,Strong buy
1569,EXTR,"Extreme Networks, Inc.",17.13 USD,−1.32%,1.656M,1.18,2.22B USD,24.26,0.71 USD,+112.97%,0.00%,Electronic Technology,Buy
