,Symbol,Name,Price,Change %,Volume,Rel Volume,Market Cap,P/E,EPS (dil TTM),EPS Growth (TTM YoY),Div Yield % TTM,Sector,Analyst Rating
653,BPTH,"Bio-Path Holdings, Inc.",1.13,−0.88%,243190.0,0.04,2884000.0,—,−17.86 USD,+60.17%,0.00%,Health technology,Strong buy
654,BR,"Broadridge Financial Solutions, Inc.",220.74,+1.80%,591262.0,1.20,25801000000.0,37.63,5.87 USD,+10.76%,1.49%,Technology services,Neutral
655,BRBR,"BellRing Brands, Inc.",63.19,+0.70%,675688.0,0.95,8167000000.0,37.95,1.67 USD,+46.62%,0.00%,Consumer non-durables,Buy
656,BRBS,"Blue Ridge Bankshares, Inc.",2.72,+1.49%,845452.0,1.53,200034000.0,—,−3.10 USD,—,0.00%,Finance,—
657,BRC,Brady Corporation,74.97,+1.37%,317190.0,1.63,3567000000.0,18.43,4.07 USD,+15.94%,1.25%,Producer manufacturing,Strong buy
658,BRCC,BRC Inc.,3.47,+3.58%,802437.0,1.45,742238000.0,—,−0.12 USD,+62.94%,0.00%,Consumer non-durables,Buy
659,BRDG,Bridge Investment Group Holdings Inc.,10.52,+2.24%,218454.0,0.94,2737000000.0,—,−0.41 USD,−79.06%,4.66%,Finance,Strong buy
660,BREA,Brera Holdings PLC,0.64,−0.76%,40895.0,0.91,7462000.0,—,—,—,0.00%,Consumer services,—
661,BRFH,Barfresh Food Group Inc.,2.57,−4.81%,32705.0,1.09,37898000.0,—,−0.18 USD,+61.68%,0.00%,Consumer non-durables,Strong buy
662,BRID,Bridgford Foods Corporation,8.98,+0.11%,,0.06,81510000.0,—,−0.11 USD,−123.10%,0.00%,Consumer non-durables,—
663,BRK.A,Berkshire Hathaway Inc.,691500.0,+1.32%,1468.0,1.01,992428000000.0,14.66,"47,165.93 USD",−21.04%,0.00%,Finance,Buy
664,BRKH,BurTech Acquisition Corp.,11.31,−0.20%,16017.0,0.30,171490000.0,—,−0.06 USD,−166.14%,0.00%,Finance,—
665,BRKL,"Brookline Bancorp, Inc.",10.21,+4.18%,498757.0,1.14,907788000.0,11.87,0.86 USD,—,5.29%,Finance,Buy
666,BRKR,Bruker Corporation,64.54,+1.27%,1335000.0,1.44,9771000000.0,26.83,2.41 USD,+11.57%,0.31%,Health technology,Buy
667,BRLS,Borealis Foods Inc.,5.6,0.00%,6637.0,1.12,119722000.0,—,−1.08 USD,−543.34%,0.00%,Technology services,—
668,BRLT,"Brilliant Earth Group, Inc.",1.91,+0.53%,27520.0,0.47,187770000.0,110.40,0.02 USD,+57.27%,0.00%,Retail trade,Buy
669,BRN,"Barnwell Industries, Inc.",2.21,−1.78%,71917.0,0.28,22162000.0,—,−0.38 USD,−273.00%,0.68%,Energy minerals,—
670,BRO,"Brown & Brown, Inc.",104.75,+1.04%,739020.0,0.49,29881000000.0,30.15,3.47 USD,+34.75%,0.50%,Finance,Buy
671,BROG,Brooge Energy Limited,1.61,+2.22%,29666.0,1.11,141737000.0,—,—,—,0.00%,Industrial services,—
672,BROS,Dutch Bros Inc.,32.35,+5.31%,2763000.0,1.24,4988000000.0,128.07,0.25 USD,"+50,420.00%",0.00%,Consumer non-durables,Buy
673,BRTX,"BioRestorative Therapies, Inc.",1.65,−1.09%,5755.0,0.46,11418000.0,—,−1.22 USD,+74.36%,0.00%,Health technology,Strong buy
674,BRY,Berry Corporation (bry),5.42,0.00%,720640.0,0.54,417009000.0,—,−0.43 USD,−112.26%,14.02%,Energy minerals,Neutral
675,BRZE,"Braze, Inc.",30.71,+2.61%,1567000.0,1.19,3155000000.0,—,−1.18 USD,+17.43%,0.00%,Technology services,Strong buy
676,BSBK,Bogota Financial Corp.,8.23,+1.86%,15919.0,1.59,107989000.0,—,−0.16 USD,—,0.00%,Finance,—
677,BSET,"Bassett Furniture Industries, Incorporated",13.95,0.00%,16247.0,1.08,122776000.0,—,−1.94 USD,−369.22%,5.30%,Consumer durables,—
678,BSFC,Blue Star Foods Corp.,0.489,−7.70%,2546000.0,3.02,1228000.0,—,−11.43 USD,+97.70%,0.00%,Consumer non-durables,—
679,BSIG,BrightSphere Investment Group Inc.,26.04,+6.16%,202205.0,0.91,965228000.0,15.73,1.66 USD,−1.67%,0.15%,Finance,Buy
680,BSII,Black Spade Acquisition II Co,9.9,+0.20%,25827.0,—,151470000.0,—,—,—,0.00%,Finance,—
681,BSLK,"Bolt Projects Holdings, Inc.",0.446,+5.19%,104337.0,0.71,14120000.0,—,−0.43 USD,−357.94%,0.00%,Finance,—
682,BSM,"Black Stone Minerals, L.P.",15.24,+0.20%,358925.0,1.24,3211000000.0,10.28,1.48 USD,−39.27%,11.15%,Miscellaneous,Neutral
683,BSRR,Sierra Bancorp,28.47,+3.75%,14534.0,0.72,411582000.0,11.57,2.46 USD,—,3.27%,Finance,Neutral
684,BSVN,Bank7 Corp.,40.01,+6.69%,74552.0,4.61,373604000.0,10.54,3.80 USD,—,2.17%,Finance,Buy
685,BSX,Boston Scientific Corporation,87.1,+1.04%,5961000.0,1.17,128265999999.99998,70.47,1.24 USD,+107.77%,0.00%,Health technology,Strong buy
686,BSY,"Bentley Systems, Incorporated",50.65,+0.98%,748041.0,1.09,15304000000.0,44.24,1.14 USD,+133.80%,0.45%,Technology services,Buy
687,BTAI,"BioXcel Therapeutics, Inc.",0.5265,+2.23%,251180.0,0.57,21452000.0,—,−3.55 USD,+50.09%,0.00%,Health technology,Buy
688,BTBD,"BT Brands, Inc.",1.6,−1.23%,7452.0,0.81,9569000.0,—,−0.18 USD,−29.77%,0.00%,Consumer services,—
689,BTBT,"Bit Digital, Inc.",3.16,+6.76%,4883000.0,0.77,467024000.0,13.15,0.24 USD,—,0.00%,Commercial services,Strong buy
690,BTCS,BTCS Inc.,1.19,+4.39%,49176.0,0.95,19701000.0,1.37,0.87 USD,—,0.00%,Finance,Strong buy
691,BTCT,BTC Digital Ltd.,1.59,+4.67%,23648.0,0.93,4151000.0,—,—,—,0.00%,Technology services,Strong buy
692,BTDR,Bitdeer Technologies Group,7.57,+10.19%,1708000.0,0.87,1058000000.0,—,—,—,0.00%,Technology services,Strong buy
693,BTM,Bitcoin Depot Inc.,1.5,−0.66%,10902.0,0.20,90169000.0,—,−0.85 USD,−308.99%,0.00%,Finance,Buy
694,BTMD,Biote Corp.,5.26,+1.74%,399298.0,3.48,285189000.0,46.26,0.11 USD,—,0.00%,Health services,Strong buy
695,BTOC,Armlogi Holding Corp.,4.4,−3.72%,560856.0,1.16,183040000.0,24.59,0.18 USD,—,0.00%,Transportation,—
696,BTOG,Bit Origin Limited,2.25,+2.74%,16418.0,0.33,18147000.0,—,—,—,0.00%,Consumer non-durables,—
697,BTSG,"BrightSpring Health Services, Inc.",15.16,−0.07%,1046999.9999999999,0.95,2599000000.0,—,−0.95 USD,−69.42%,0.00%,Health services,Strong buy
698,BTTR,Better Choice Company Inc.,1.72,−0.58%,47572.0,0.94,3019000.0,—,−23.09 USD,+58.43%,0.00%,Retail trade,Strong buy
699,BTU,Peabody Energy Corporation,27.11,+1.27%,2185000.0,1.02,3413000000.0,7.03,3.86 USD,−57.45%,1.11%,Energy minerals,Buy
700,BUJA,Bukit Jalil Global Acquisition 1 Ltd.,10.99,+0.73%,42591.0,1.79,54305000.0,175.00,0.06 USD,—,0.00%,Finance,—
701,BURL,"Burlington Stores, Inc.",252.45,+2.28%,1130000.0,1.21,16072000000.0,37.97,6.65 USD,+63.54%,0.00%,Retail trade,Strong buy
702,BURU,"Nuburu, Inc.",1.04,+0.97%,4282000.0,0.22,4391000.0,—,−24.09 USD,−312.20%,0.00%,Electronic technology,—
703,BUSE,First Busey Corporation,25.27,+2.81%,316369.0,1.34,1437000000.0,13.03,1.94 USD,—,3.80%,Finance,Buy
704,BV,"BrightView Holdings, Inc.",16.39,+1.99%,312856.0,0.60,1550000000.0,122.86,0.13 USD,—,0.00%,Commercial services,Buy
705,BVFL,"BV Financial, Inc.",15.25,0.00%,37425.0,1.81,173663000.0,12.86,1.19 USD,—,0.00%,Finance,—
706,BVS,Bioventus Inc.,12.13,+7.82%,429212.0,0.87,982210000.0,—,−0.66 USD,+85.57%,0.00%,Health technology,Buy
707,BW,"Babcock & Wilcox Enterprises, Inc.",2.38,0.00%,2846000.0,1.55,219426000.0,—,−2.09 USD,−315.76%,0.00%,Electronic technology,Buy
708,BWA,BorgWarner Inc.,35.05,+0.46%,1072000.0,0.52,7983000000.0,11.28,3.11 USD,−23.12%,1.26%,Producer manufacturing,Buy
709,BWB,"Bridgewater Bancshares, Inc.",14.88,+3.19%,27104.0,0.78,406968000.0,13.76,1.08 USD,—,0.00%,Finance,Strong buy
710,BWEN,"Broadwind, Inc.",2.17,−0.46%,47733.0,0.41,47709000.0,6.30,0.34 USD,—,0.00%,Producer manufacturing,Strong buy
711,BWFG,"Bankwell Financial Group, Inc.",30.36,+2.85%,7975.0,0.76,238533000.0,10.29,2.95 USD,—,2.64%,Finance,Strong buy
712,BWIN,"The Baldwin Insurance Group, Inc.",51.62,+0.19%,337329.0,0.58,6073000000.0,—,−0.80 USD,+57.91%,0.00%,Finance,Buy
713,BWMN,Bowman Consulting Group Ltd.,22.03,+2.75%,110957.0,1.50,401057000.0,—,−0.76 USD,−386.37%,0.00%,Industrial services,Strong buy
714,BWMX,"Betterware de Mexico, S.A.P.I. de C.V.",12.83,+7.18%,31926.0,1.43,478771000.0,6.89,1.86 USD,+92.13%,11.35%,Retail trade,Strong buy
715,BWXT,"BWX Technologies, Inc.",117.42,+1.37%,639401.0,0.76,10735000000.0,40.32,2.91 USD,+19.17%,0.81%,Electronic technology,Buy
716,BX,Blackstone Inc.,153.04,+2.69%,2206000.0,0.95,186924000000.0,58.40,2.62 USD,+57.72%,2.22%,Finance,Neutral
717,BXC,Bluelinx Holdings Inc.,109.25,+3.13%,33684.0,0.48,931420000.0,25.48,4.29 USD,−70.49%,0.00%,Distribution services,Strong buy
718,BXSL,Blackstone Secured Lending Fund,29.75,+0.40%,627709.0,0.63,5979000000.0,7.71,3.86 USD,+24.28%,10.35%,Miscellaneous,Strong buy
719,BY,"Byline Bancorp, Inc.",25.95,+3.39%,95446.0,0.74,1149000000.0,9.60,2.70 USD,—,1.39%,Finance,Buy
720,BYD,Boyd Gaming Corporation,63.33,+1.33%,703587.0,1.15,5811000000.0,12.30,5.15 USD,−25.38%,1.06%,Consumer services,Buy
721,BYFC,Broadway Financial Corporation,6.59,+1.38%,1152.0,0.12,60180000.0,17.44,0.38 USD,—,0.00%,Finance,—
722,BYND,"Beyond Meat, Inc.",6.59,+3.45%,1690000.0,0.85,428603000.0,—,−4.87 USD,−10.64%,0.00%,Consumer non-durables,Sell
723,BYNO,byNordic Acquisition Corporation,11.39,0.00%,,0.03,87678000.0,136.90,0.08 USD,−50.89%,0.00%,Finance,—
724,BYON,"Beyond, Inc.",10.35,+3.92%,1235000.0,0.80,473520000.0,—,−7.50 USD,−147.18%,0.00%,Retail trade,Buy
725,BYRN,"Byrna Technologies, Inc.",13.96,−0.29%,581247.0,0.66,317965000.0,148.04,0.09 USD,—,0.00%,Electronic technology,Strong buy
726,BYSI,"BeyondSpring, Inc.",2.49,+4.73%,10756.0,0.29,100348000.0,—,−0.40 USD,+79.34%,0.00%,Health technology,—
727,BYU,"BAIYU Holdings, Inc.",0.3,−35.06%,11103000.0,1.86,14984000.0,0.76,0.39 USD,—,0.00%,Distribution services,—
728,BZFD,"BuzzFeed, Inc.",2.36,−5.98%,876179.0,4.68,89195000.0,—,−1.86 USD,+66.78%,0.00%,Technology services,—
729,BZH,"Beazer Homes USA, Inc.",31.84,+1.47%,222939.0,0.79,989649000.0,6.87,4.64 USD,−24.92%,0.00%,Consumer durables,Strong buy
730,C,"Citigroup, Inc.",65.74,+3.56%,15512000.0,1.71,125418000000.0,18.35,3.58 USD,—,3.27%,Finance,Buy
731,CAAP,Corporacion America Airports SA,18.88,+0.21%,164937.0,1.58,3039000000.0,7.99,2.36 USD,+128.36%,0.00%,Transportation,Buy
732,CAAS,"China Automotive Systems, Inc.",4.52,+4.39%,36349.0,0.23,136439000.0,3.81,1.19 USD,+23.92%,0.00%,Producer manufacturing,—
733,CABA,"Cabaletta Bio, Inc.",4.21,+6.58%,912258.0,1.12,205653000.0,—,−1.91 USD,−9.55%,0.00%,Health technology,Strong buy
734,CABO,"Cable One, Inc.",339.37,+1.61%,125707.0,1.74,1907000000.0,10.36,32.75 USD,+91.30%,3.48%,Consumer services,Neutral
735,CAC,Camden National Corporation,41.42,+3.14%,54568.0,0.91,603737000.0,13.92,2.98 USD,—,4.06%,Finance,Neutral
736,CACC,Credit Acceptance Corporation,457.11,+0.50%,34297.0,0.93,5536000000.0,32.72,13.97 USD,−44.95%,0.00%,Finance,Sell
737,CACI,"CACI International, Inc.",520.97,+1.58%,68220.0,0.65,11620000000.0,27.99,18.62 USD,+13.14%,0.00%,Technology services,Buy
738,CADE,Cadence Bank,32.34,+3.75%,913881.0,0.82,5910000000.0,9.98,3.24 USD,—,3.05%,Finance,Buy
739,CADL,"Candel Therapeutics, Inc.",6.02,+0.17%,231748.0,1.16,193150000.0,—,−1.70 USD,−52.74%,0.00%,Health technology,—
740,CAG,"ConAgra Brands, Inc.",29.37,−0.24%,2715000.0,0.43,14018000000.0,28.61,1.03 USD,−54.41%,4.77%,Consumer non-durables,Neutral
741,CAH,"Cardinal Health, Inc.",112.51,−1.17%,1908000.0,1.11,27223000000.0,32.44,3.47 USD,+250.27%,1.78%,Distribution services,Buy
742,CAKE,The Cheesecake Factory Incorporated,39.57,+2.25%,899287.0,1.07,2013000000.0,16.59,2.38 USD,+81.03%,2.73%,Consumer services,Neutral
743,CAL,"Caleres, Inc.",32.7,+3.12%,696290.0,1.05,1151000000.0,7.09,4.61 USD,+12.13%,0.86%,Retail trade,Buy
744,CALC,"CalciMedica, Inc.",3.81,−3.49%,10688.0,0.48,40958000.0,—,−1.88 USD,+94.74%,0.00%,Health technology,Strong buy
745,CALM,"Cal-Maine Foods, Inc.",90.45,+1.06%,577282.0,0.63,4435000000.0,10.36,8.73 USD,−32.71%,2.09%,Process industries,Buy
746,CALX,"Calix, Inc",38.22,+3.94%,338333.0,0.96,2515000000.0,630.69,0.06 USD,−90.49%,0.00%,Electronic technology,Buy
747,CAMT,Camtek Ltd.,84.16,+6.22%,442653.0,0.86,3818000000.0,43.29,1.94 USD,+20.41%,1.58%,Electronic technology,Strong buy
748,CAPL,CrossAmerica Partners LP,21.97,+0.55%,15462.0,0.61,835886000.0,39.48,0.56 USD,−61.59%,9.56%,Distribution services,Neutral
749,CAPR,"Capricor Therapeutics, Inc.",17.77,+3.68%,4594000.0,0.70,578217000.0,—,−0.93 USD,+20.22%,0.00%,Health technology,Strong buy
750,CAPT,Captivision Inc.,1.98,0.00%,118371.0,1.63,57481000.0,—,—,—,0.00%,Producer manufacturing,—
751,CAR,"Avis Budget Group, Inc.",83.04,−1.61%,793375.0,1.61,2962000000.0,3.94,21.09 USD,−58.25%,0.00%,Finance,Buy
752,CARA,"Cara Therapeutics, Inc.",0.2506,−1.22%,356264.0,1.24,13745000.0,—,−2.04 USD,+1.69%,0.00%,Health technology,Buy
753,CARE,"Carter Bankshares, Inc.",17.75,+3.08%,50665.0,1.17,409541000.0,33.13,0.54 USD,—,0.00%,Finance,Strong buy
754,CARG,"CarGurus, Inc.",30.89,+1.91%,422884.0,0.95,3193000000.0,—,−0.48 USD,−119.96%,0.00%,Technology services,Buy
755,CARM,"Carisma Therapeutics, Inc.",0.9315,−0.16%,55936.0,0.63,38699000.0,—,−1.78 USD,−57.22%,0.00%,Health technology,Buy
756,CARR,Carrier Global Corporation,81.61,+1.47%,3325000.0,1.00,73674000000.0,21.72,3.76 USD,+49.09%,0.93%,Producer manufacturing,Buy
757,CARS,Cars.com Inc.,15.65,+0.38%,323785.0,0.54,1032999999.9999999,42.62,0.37 USD,−77.75%,0.00%,Technology services,Buy
758,CART,Maplebear Inc.,43.6,+2.01%,1780000.0,0.62,11210000000.0,—,−5.97 USD,"−1,305.37%",0.00%,Transportation,Buy
759,CARV,"Carver Bancorp, Inc.",1.61,+11.03%,202144.0,11.45,8220000.000000001,—,−0.76 USD,—,0.00%,Finance,—
760,CASH,"Pathward Financial, Inc.",73.97,+4.48%,236899.0,1.66,1848000000.0,11.14,6.64 USD,—,0.27%,Finance,Buy
761,CASI,"CASI Pharmaceuticals, Inc.",5.82,−1.02%,9144.0,0.23,77996000.0,—,−2.02 USD,+33.80%,0.00%,Health technology,—
762,CASS,"Cass Information Systems, Inc",41.92,+3.33%,42807.0,1.78,571208000.0,21.06,1.99 USD,−14.86%,2.86%,Commercial services,Strong buy
763,CASY,"Caseys General Stores, Inc.",385.9,+1.32%,149791.0,0.71,14323000000.0,28.09,13.74 USD,+11.33%,0.46%,Retail trade,Buy
764,CAT,"Caterpillar, Inc.",402.02,+1.36%,2110000.0,1.05,194939000000.0,18.31,21.95 USD,+36.57%,1.32%,Producer manufacturing,Neutral
765,CATO,Cato Corporation (The),5.62,−4.10%,44636.0,0.34,115594000.0,—,−0.83 USD,−984.01%,12.10%,Retail trade,—
766,CATX,"Perspective Therapeutics, Inc.",12.66,−4.45%,5183000.0,7.28,853634000.0,—,—,—,0.00%,Health technology,Strong buy
767,CATY,Cathay General Bancorp,44.06,+3.35%,187696.0,1.00,3180000000.0,10.59,4.16 USD,—,3.09%,Finance,Neutral
768,CAVA,"CAVA Group, Inc.",133.65,+2.62%,1649000.0,0.75,15279000000.0,367.47,0.36 USD,—,0.00%,Consumer services,Buy
769,CB,Chubb Limited,286.83,+0.75%,798974.0,0.62,115918000000.0,12.12,23.67 USD,+70.04%,1.23%,Finance,Buy
770,CBAN,"Colony Bankcorp, Inc.",15.33,+2.27%,23445.0,1.05,269653000.0,12.12,1.26 USD,—,2.92%,Finance,Buy
771,CBAT,"CBAK Energy Technology, Inc.",1.12,0.00%,177529.0,0.49,100732000.0,5.66,0.20 USD,—,0.00%,Producer manufacturing,—
772,CBFV,"CB Financial Services, Inc.",28.25,0.00%,,0.32,145259000.0,6.46,4.38 USD,—,3.54%,Finance,Neutral
773,CBLL,CERIBELL INC,25.0,—,3571000.0,—,850466000.0,—,—,—,0.00%,Health technology,—
774,CBNA,"Chain Bridge Bancorp, Inc.",20.65,0.00%,32343.000000000004,—,132550999.99999999,—,—,—,0.00%,Finance,—
775,CBNK,"Capital Bancorp, Inc.",24.88,+1.93%,115439.0,6.38,408270000.0,10.34,2.41 USD,—,1.37%,Finance,Buy
776,CBOE,"Cboe Global Markets, Inc.",206.0,−0.39%,660256.0,0.81,21555000000.0,28.51,7.23 USD,+18.49%,1.11%,Finance,Neutral
777,CBRE,CBRE Group Inc,121.93,+2.02%,881212.0,0.60,37363000000.0,40.82,2.99 USD,+13.12%,0.00%,Finance,Buy
778,CBRG,Chain Bridge I,11.39,−0.61%,26429.0,16.35,76959000.0,134.00,0.09 USD,−76.83%,0.00%,Finance,—
779,CBRL,"Cracker Barrel Old Country Store, Inc.",44.54,+3.05%,560657.0,0.94,988980000.0,24.31,1.83 USD,−58.82%,9.32%,Consumer services,Sell
780,CBSH,"Commerce Bancshares, Inc.",59.9,+2.64%,507363.0,0.85,7722000000.0,16.22,3.69 USD,—,1.76%,Finance,Neutral
781,CBT,Cabot Corporation,112.41,+1.48%,153783.0,0.42,6163000000.0,13.32,8.44 USD,+59.52%,1.48%,Process industries,Buy
782,CBU,"Community Financial System, Inc.",59.72,+3.41%,222300.0,1.18,3138000000.0,18.64,3.20 USD,—,3.03%,Finance,Neutral
783,CBUS,"Cibus, Inc.",3.7,+16.72%,342955.0,1.52,109117000.0,—,−16.44 USD,+29.29%,0.00%,Technology services,Buy
784,CBZ,"CBIZ, Inc.",65.32,+2.41%,377288.0,1.34,3279000000.0,27.94,2.34 USD,+2.85%,0.00%,Commercial services,Strong buy
785,CC,Chemours Company (The),20.38,+3.03%,1439000.0,1.08,3042000000.0,26.43,0.77 USD,—,4.91%,Process industries,Neutral
786,CCAP,"Crescent Capital BDC, Inc.",18.35,+0.11%,97093.0,0.96,680079000.0,6.68,2.75 USD,+220.76%,9.05%,Finance,Buy
787,CCB,Coastal Financial Corporation,56.67,+4.46%,90365.0,1.50,762570000.0,20.60,2.75 USD,—,0.00%,Finance,Strong buy
788,CCBG,Capital City Bank Group,34.66,+3.15%,16286.000000000002,0.63,587202000.0,11.53,3.01 USD,—,2.45%,Finance,Buy
789,CCCC,"C4 Therapeutics, Inc.",5.46,+3.02%,560742.0,0.74,378584000.0,—,−1.90 USD,+33.43%,0.00%,Health technology,Buy
790,CCCS,CCC Intelligent Solutions Holdings Inc.,10.77,−0.28%,3142000.0,1.42,6714000000.0,311.27,0.03 USD,—,0.00%,Technology services,Buy
791,CCEC,Capital Clean Energy Carriers Corp.,18.56,+1.06%,18816.0,0.94,1032999999.9999999,7.28,2.55 USD,−46.65%,3.23%,Transportation,Strong buy
792,CCEL,"Cryo-Cell International, Inc.",6.26,−3.40%,,0.36,50469000.0,—,−1.12 USD,−513.98%,0.00%,Transportation,Strong buy
793,CCEP,Coca-Cola Europacific Partners plc,77.96,+0.39%,609302.0,0.43,35891000000.0,20.56,3.79 USD,+9.35%,2.59%,Consumer non-durables,Buy
794,CCG,Cheche Group Inc.,0.836,+18.90%,645167.0,1.07,63320000.0,—,−2.56 USD,"−3,516.53%",0.00%,Technology services,Strong buy
795,CCIX,Churchill Capital Corp IX,10.01,−0.20%,7232.0,0.04,295045000.0,—,—,—,0.00%,Finance,—
796,CCJ,Cameco Corporation,51.35,+1.70%,2628000.0,0.64,22347000000.0,118.87,0.43 USD,+159.58%,0.17%,Non-energy minerals,Strong buy
797,CCK,"Crown Holdings, Inc.",92.78,+1.29%,2133000.0,1.94,11193000000.0,25.72,3.61 USD,−9.07%,1.07%,Process industries,Buy
798,CCL,Carnival Corporation,20.43,+0.20%,28855000.0,0.69,25669000000.0,18.19,1.12 USD,—,0.00%,Consumer services,Buy
799,CCLD,"CareCloud, Inc.",2.37,+1.98%,15867.0,0.24,38426000.0,—,−3.58 USD,−239.54%,0.00%,Technology services,Strong buy
800,CCNE,CNB Financial Corporation,24.03,+3.89%,30155.0,0.81,504576000.0,10.31,2.33 USD,—,2.93%,Finance,Buy
801,CCO,"Clear Channel Outdoor Holdings, Inc.",1.59,+6.00%,3920000.0,2.93,777426000.0,—,−0.74 USD,"−2,447.59%",0.00%,Commercial services,Neutral
802,CCOI,"Cogent Communications Holdings, Inc.",80.45,+0.71%,276966.0,0.71,3942000000.0,88.64,0.91 USD,−96.16%,4.82%,Communications,Buy
803,CCRD,CoreCard Corporation,12.93,+3.44%,11060.0,0.62,103757000.0,66.68,0.19 USD,−69.87%,0.00%,Technology services,Neutral
804,CCRN,"Cross Country Healthcare, Inc.",12.33,+1.23%,682153.0,0.40,416860000.0,53.56,0.23 USD,−93.20%,0.00%,Commercial services,Buy
805,CCS,"Century Communities, Inc.",96.94,+0.99%,154142.0,0.76,3038000000.0,9.68,10.02 USD,+5.02%,1.04%,Consumer durables,Neutral
806,CCSI,"Consensus Cloud Solutions, Inc.",21.66,+2.17%,74065.0,0.81,417977000.0,4.61,4.70 USD,+37.08%,0.00%,Technology services,Neutral
807,CCTG,CCSC Technology International Holdings Limited,1.47,+0.68%,14324.0,0.13,17024000.0,—,−0.01 USD,—,0.00%,Electronic technology,—
808,CCTS,Cactus Acquisition Corp. 1 Limited,11.45,−0.22%,,0.03,58107000.0,327.14,0.04 USD,−79.17%,0.00%,Finance,—
809,CDAQ,Compass Digital Acquisition Corp.,10.87,+0.18%,150005.0,3.14,112957000.0,855.91,0.01 USD,−95.47%,0.00%,Finance,—
810,CDE,"Coeur Mining, Inc.",6.39,−0.16%,8681000.0,0.92,2551000000.0,—,−0.20 USD,+6.90%,0.00%,Non-energy minerals,Buy
811,CDIO,Cardio Diagnostics Holdings Inc.,0.21,+2.84%,608698.0,0.15,5440000.0,—,−0.48 USD,+46.88%,0.00%,Health technology,Strong buy
812,CDLX,"Cardlytics, Inc. Common Stock",3.59,+11.49%,641285.0,1.02,178926000.0,—,−3.83 USD,+66.46%,0.00%,Technology services,Neutral
813,CDMO,"Avid Bioservices, Inc.",10.32,+1.47%,452054.0,0.72,658366000.0,—,−2.27 USD,"−4,044.89%",0.00%,Health technology,Strong buy
814,CDNA,"CareDx, Inc.",30.62,+0.29%,602110.0,0.64,1615000000.0,—,−2.99 USD,−91.32%,0.00%,Health technology,Buy
815,CDNS,"Cadence Design Systems, Inc.",282.39,+0.62%,1386000.0,1.01,77324000000.0,73.03,3.87 USD,+18.86%,0.00%,Technology services,Buy
816,CDRE,"Cadre Holdings, Inc.",40.22,+0.95%,181281.0,1.03,1633000000.0,39.04,1.03 USD,+31.82%,0.85%,Electronic technology,Strong buy
817,CDRO,"Codere Online Luxembourg, S.A.",8.51,−1.28%,68509.0,0.81,385485000.0,—,—,—,0.00%,Consumer services,Buy
818,CDT,Conduit Pharmaceuticals Inc.,0.1164,+13.67%,270962000.0,28.55,11175000.0,—,−0.14 USD,−731.67%,0.00%,Health technology,—
819,CDTG,CDT Environmental Technology Investment Holdings Limited,3.55,+2.60%,7528.0,0.46,37985000.0,—,—,—,0.00%,Producer manufacturing,—
820,CDTX,"Cidara Therapeutics, Inc.",10.61,+0.86%,12725.0,0.90,74676000.0,—,−24.92 USD,−917.85%,0.00%,Health technology,Strong buy
821,CDW,CDW Corporation,222.0,+0.14%,930885.0,1.58,29654000000.0,27.20,8.16 USD,+3.75%,1.12%,Technology services,Buy
822,CDXC,ChromaDex Corporation,3.55,+3.20%,228883.0,0.92,269563000.0,—,−0.02 USD,+79.61%,0.00%,Health technology,Strong buy
823,CDXS,"Codexis, Inc.",3.15,+6.06%,358168.0,0.85,223421000.0,—,−1.09 USD,−27.42%,0.00%,Process industries,Buy
824,CDZI,"Cadiz, Inc.",3.0,0.00%,129311.0,1.51,203688000.0,—,−0.51 USD,+17.33%,0.00%,Finance,Strong buy
825,CE,Celanese Corporation,136.18,+0.99%,509141.0,0.63,14880000000.0,7.74,17.58 USD,+51.31%,2.06%,Process industries,Neutral
826,CEAD,CEA Industries Inc.,6.98,+4.06%,9411.0,0.87,5525000.0,—,−4.66 USD,+9.83%,0.00%,Producer manufacturing,—
827,CECO,CECO Environmental Corp.,27.26,−0.51%,148290.0,0.86,953024000.0,74.04,0.37 USD,−19.15%,0.00%,Producer manufacturing,Strong buy
828,CEG,Constellation Energy Corporation,266.22,+1.49%,4477000.0,1.31,83244000000.0,35.48,7.50 USD,+214.71%,0.50%,Utilities,Buy
829,CEIX,CONSOL Energy Inc.,110.68,+1.26%,328715.0,0.81,3253000000.0,8.20,13.50 USD,−36.11%,0.23%,Energy minerals,Strong buy
830,CELC,Celcuity Inc.,15.16,+4.55%,137491.0,0.80,561377000.0,—,−2.74 USD,−4.32%,0.00%,Health technology,Strong buy
831,CELH,"Celsius Holdings, Inc.",32.8,−6.04%,18275000.0,1.79,7645000000.0,32.14,1.02 USD,—,0.00%,Consumer non-durables,Buy
832,CELU,Celularity Inc.,2.51,−0.79%,38064.0,1.91,55181000.0,—,—,—,0.00%,Commercial services,—
833,CELZ,"Creative Medical Technology Holdings, Inc.",4.25,+2.23%,34570.0,1.15,5691000.0,—,−4.07 USD,+38.80%,0.00%,Health technology,—
834,CENN,Cenntro Inc.,1.17,−0.85%,51226.0,0.73,36070000.0,—,−1.07 USD,−10.71%,0.00%,Consumer durables,—
835,CENT,Central Garden & Pet Company,34.13,+2.77%,107344.0,1.00,2044000000.0,15.66,2.18 USD,−3.45%,0.00%,Consumer non-durables,Strong buy
836,CENX,Century Aluminum Company,17.31,+5.04%,1334000.0,1.47,1606000000.0,8.01,2.16 USD,—,0.00%,Non-energy minerals,Buy
